type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10008,Phoebastria nigripes,Black-footed Albatross,BFAL,952,
tally-species,10009,Phoebastria immutabilis,Laysan Albatross,LAAL,951,
tally-species,10010,Diomedea albatrus,Short-tailed Albatross,STAL,950,
tally-species,10011,Diomedeidae,Albatross Unid,ALBU,949,
tally-species,10012,Alcidae,Alcid Unid,ALCU,983,
tally-species,10013,Anchoa compressa,Deepbody Anchovy,DEAN,609,
tally-species,10014,Engraulis mordax,Northern Anchovy,NANC,610,
tally-species,10015,Engraulidae,Anchovy Unid,ANCU,605,
tally-species,10016,Actiniaria,Anemone Unid,ANEU,55,
tally-species,10018,Argentina sialis,Pacific Argentine,PAAR,681,
tally-species,10020,Pleurogrammus monopterygius,Atka Mackerel,AMCK,204,
tally-species,10021,Cerorhinca monocerata,Rhinoceros Auklet,RHAU,995,
tally-species,10022,Cirripedia,Barnacles Unid,BARU,48,
tally-species,10023,Sphyraena argentea,California Barracuda,CUDA,682,
tally-species,10024,Paralepididae,Barracudina Unid,BRRU,770,
tally-species,10025,Stereolepis gigas,Giant Sea Bass,GBAS,476,
tally-species,10026,Paralabrax clathratus,Kelp Bass,KEBA,477,
tally-species,10027,Paralabrax maculatofasciatus,Spotted Sand Bass,SSBA,478,
tally-species,10028,Atractoscion nobilis,White Seabass,WBAS,481,
tally-species,10029,Percichthyidae/Serranidae,Bass Unid,BASS,480,
tally-species,10030,Berardius bairdii,Bairds Beaked Whale,BABW,1001,
tally-species,10031,Mesoplodon densirostris,Blainevilles Beaked Whale,BBWH,1002,
tally-species,10032,Mesoplodon ginkgodens,Gingko-toothed Beaked Whale,GBWH,1004,
tally-species,10033,Mesoplodon carlhubbsi,Hubbs Beaked Whale,HBKW,1006,
tally-species,10034,Mesoplodon hectori,Hectors Beaked Whale,HBWH,1005,
tally-species,10035,Mesoplodon stejnegeri,Stejnegers Beaked Whale,SBWH,1007,
tally-species,10036,Ziphiidae,Beaked Whale Unid,BEWH,1008,
tally-species,10037,Aves,Bird Unid,BIRU,900,
tally-species,10038,Bivalvia,Bivalve Unid,BIVU,27,
tally-species,10039,Neoscopelidae,Blackchin Unid,BLAU,683,
tally-species,10040,Idiacanthinae,Blackdragon Unid,BLDU,684,
tally-species,10041,Chromis punctipinnis,Blacksmith,BLSM,685,
tally-species,10042,Sarda chiliensis,Pacific Bonito,PBNT,686,
tally-species,10043,Gonostomatidae,Bristlemouth Unid,BRIU,687,
tally-species,10044,Peprilus simillimus,Pacific Butterfish,PBTR,688,
tally-species,10045,Scorpaenichthys marmoratus,Cabezon,CBZN,689,
tally-species,10046,Mallotus villosus,Capelin,CPLN,604,
tally-species,10047,Gadus macrocephalus,Pacific Cod,PCOD,202,
tally-species,10048,Microgadus proximus,Pacific Tom Cod,TCOD,209,
tally-species,10049,Zaniolepis frenata,Shortspine Combfish,SHCO,691,
tally-species,10050,Fulica americana,American Coot,AMCO,912,
tally-species,10051,Anthozoa,Corals Unid,CORU,32,
tally-species,10052,Menticirrhus undulatus,California Corbina,CACO,692,
tally-species,10053,Phalacrocorax auritus,Double-crested Cormorant,DCCO,963,
tally-species,10054,Phalacrocorax pelagicus,Pelagic Cormorant,PECO,964,
tally-species,10055,Phalacrocoracidae,Cormorant Unid,CRMU,961,
tally-species,10056,Chionoecetes angulatus,Angulatus Tanner Crab,ATCB,19,
tally-species,10057,Chionoecetes bairdi,Bairdi Tanner Crab,BTCR,4,
tally-species,10058,Lopholithodes foraminatus,Brown Box Crab,BRCR,6,
tally-species,10059,Lithodes couesi,Scarlet King Crab,SCCR,16,
tally-species,10060,Majidae,Decorator/Spider Crab Unid,DECU,39,
tally-species,10061,Cancer magister,Dungeness Crab,DCRB,12,
tally-species,10062,Paguridae,Hermit Unid Crab,HERU,15,
tally-species,10063,Paralithodes rathbuni,Spiny King Crab,SKCB,8,
tally-species,10064,Lithodidae,King Unid Crab,KINU,2,
tally-species,10065,Lithodidea,Lithoid Crab,LICR,14,
tally-species,10066,Hyas spp.,Lyre Unid Crab,LYRU,840,
tally-species,10067,Paralomis multispina,Hair Crab,HACR,17,
tally-species,10068,Paralomis verrilli,Flat-legged Spider Crab,FSCB,38,
tally-species,10069,Cancer productus,Red Rock Crab,RCRB,9,
tally-species,10070,Cancridae,Cancer Unid Crab,CAUC,10,
tally-species,10071,Chionoecetes tanneri,Tanneri Tanner Crab,TTCR,18,
tally-species,10072,Cancer anthonyi,Yellow Rock Crab,YRCR,11,
tally-species,10073,Brachyura/Anomura,Crab Unid,CRBU,1,
tally-species,10074,Cheilotrema saturnum,Black Croaker,BLCR,725,
tally-species,10075,Roncador stearnsi,Spotfin Croaker,SPCR,726,
tally-species,10076,Umbrina roncador,Yellowfin Croaker,YECR,729,
tally-species,10077,Sciaenidae,Croaker Unid,CROU,727,
tally-species,10078,Holothuroidea,Sea Cucumber Unid,SECU,41,
tally-species,10079,Chilara taylori,Spotted Cusk-eel,CEEL,261,
tally-species,10080,Ophidiidae,Cusk-eel Unid,CUSU,262,
tally-species,10081,Anotopterus nikparini,North Pacific Daggertooth,NDAG,679,
tally-species,10082,Bathylagidae,Deepsea smelt Unid,DEEU,693,
tally-species,10083,Salvelinus malma,Dolly Varden,DOVA,228,
tally-species,10084,Tursiops truncatus,Common Bottlenose Dolphin,CBDO,1009,
tally-species,10085,Delphinus delphis,Short-beaked Common Dolphin,SBCD,1014,
tally-species,10086,Delphinus capensis,Long-beaked Common Dolphin,LBCD,1010,
tally-species,10087,Lissodelphis borealis,Northern Right Whale Dolphin,NRWD,1011,
tally-species,10088,Grampus griseus,Rissos Dolphin,RIDO,1013,
tally-species,10089,Stenella coeruleoalba,Striped Dolphin,STDO,1015,
tally-species,10090,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,PWSD,1012,
tally-species,10091,Delphinidae,Dolphin Unid,DOLU,1016,
tally-species,10092,Coryphaena hippurus,Dolphinfish,DOLP,694,
tally-species,10093,Lyconema barbatum,Bearded Eelpout,BEEE,252,
tally-species,10094,Lycodes cortezianus,Bigfin Eelpout,BIEE,254,
tally-species,10095,Lycodes diapterus,Black Eelpout,BLEE,255,
tally-species,10096,Lycodapus fierasfer,Blackmouth Eelpout,BMEE,257,
tally-species,10097,Lycenchelys crotalinus,Flatcheek Eelpout,,258,0
tally-species,10098,Melanostigma pammelas,Midwater Eelpout,MIDE,259,
tally-species,10099,Bothrocara molle,Soft Eelpout,SOEE,263,
tally-species,10100,Bothrocara brunneum,Twoline Eelpout,TWEE,253,
tally-species,10101,Lycodes palearis,Wattled Eelpout,WAEE,251,
tally-species,10102,Zoarcidae,Eelpout Unid,EELU,250,
tally-species,10103,Thaleichthys pacificus,Eulachon,EULC,601,
tally-species,10104,Vertebrata,Fish Unid,FISU,777,
tally-species,10105,Antimora microlepis,Pacific Flatnose,PFNS,214,
tally-species,10106,Atheresthes stomias,Arrowtooth Flounder,ARTH,141,
tally-species,10107,Platichthys stellatus,Starry Flounder,STRY,142,
tally-species,10108,Neoclinus blanchardi,Sarcastic Fringehead,SAFR,436,
tally-species,10109,Fulmarus glacialis,Northern Fulmar,NOFU,954,
tally-species,10110,Arctocephalus townsendi,Guadalupe Fur Seal,GUFS,1017,
tally-species,10111,Callorhinus ursinus,Northern Fur Seal,NFSE,1018,
tally-species,10112,Arctocephalinae,Fur Seal Unid,FURU,1019,
tally-species,10113,"Cans, bottles, old line, etc.",Garbage/ Trash,GARB,667,
tally-species,10114,Aechmophorus occidentalis,Western Grebe,WEGR,943,
tally-species,10115,Podiceps grisegena,Red-necked Grebe,RNGR,942,
tally-species,10116,Podiceps auritus,Horned Grebe,HOGR,945,
tally-species,10117,Podicipedidae,Grebe Unid,GREU,946,
tally-species,10118,Hexagrammos decagrammus,Kelp Greenling,KLPG,392,
tally-species,10119,Oxylebius pictus,Painted Greenling,PAGN,394,
tally-species,10120,Hexagrammos lagocephalus,Rock Greenling,RCKG,393,
tally-species,10121,Hexagrammos stelleri,Whitespotted Greenling,WHGR,391,
tally-species,10122,Albatrossia pectoralis,Giant Grenadier,GIGR,82,
tally-species,10123,Coryphaenoides acrolepis,Pacific Grenadier,PAGR,83,
tally-species,10124,Macrouridae,Grenadier Unid,GREN,80,
tally-species,10125,Cepphus,Guillemot Unid,GUIU,948,
tally-species,10126,Zapteryx exasperata,Banded Guitarfish,BAGU,180,
tally-species,10127,Rhinobatos productus,Shovelnose Guitarfish,SHGU,181,
tally-species,10128,Larus glaucescens,Glaucous-winged Gull,GLGU,979,
tally-species,10129,Larus californicus,California Gull,CAGU,975,
tally-species,10130,Larus delawarensis,Ring-billed Gull,RBGU,981,
tally-species,10131,Larus heermanni,Heermanns Gull,HEGU,978,
tally-species,10132,Larus canus,Mew Gull,MEGU,980,
tally-species,10133,Laridae,Gull Unid,GULU,974,
tally-species,10134,Pholidae,Gunnel Unid,GUNU,430,
tally-species,10135,Sternoptychidae,Hachetfish Unid,HACU,695,
tally-species,10136,Eptatretus stouti,Pacific Hagfish,PAHA,79,
tally-species,10137,Myxinidae,Hagfish Unid,UHAG,77,
tally-species,10138,Merluccius productus,Pacific Hake,PWHT,206,
tally-species,10139,Medialuna californiensis,Halfmoon,HALF,697,
tally-species,10140,Paralichthys californicus,California Halibut,CHLB,124,
tally-species,10141,Hippoglossus stenolepis,Pacific Halibut,PHLB,101,
tally-species,10142,Clupea pallasii,Pacific Herring,PHRG,611,
tally-species,10143,Etrumeus teres,Round Herring,RHRG,612,
tally-species,10144,Animalia,Invertebrate Unid,INVU,13,
tally-species,10145,Seriola lalandi,Yellowtail Jack,YEJA,698,
