SPECIES_ID,SCIENTIFIC_NAME,COMMON_NAME,PACFIN_CODE,SPECIES_CODE,ACTIVE,NOTES,
10453,Platymera gaudichaudii,Armed Box Crab,ABCB,5,,PACFIN_CODE was previously null.,
10618,Coryphaenoides armatus,Abyssal Grenadier,ABGR,1226,,PACFIN_CODE was previously null.,Unid codes first 3 character  + U
10628,Bathyraja parmifera,Alaska Skate,AKSK,1236,,PACFIN_CODE was previously null.,
10511,Thunnus alalunga,Albacore Tuna,ALBC,710,,,
10011,Diomedeidae,Albatross Unid,ALBU,949,,PACFIN_CODE was previously null.,
10012,Alcidae,Alcid Unid,ALCU,983,,PACFIN_CODE was previously null.,
10020,Pleurogrammus monopterygius,Atka Mackerel,AMCK,204,,,
10050,Fulica americana,American Coot,AMCO,912,,PACFIN_CODE was previously null.,First 2 charater fo each word.
10585,Amphipoda,Amiphpod Unid,AMIU,1206,,PACFIN_CODE was previously null.,
10307,Alosa sapidissima,American Shad,AMSH,606,,PACFIN_CODE was previously null.,
10015,Engraulidae,Anchovy Unid,ANCU,605,,PACFIN_CODE was previously null.,
10016,Actiniaria,Anemone Unid,ANEU,55,,PACFIN_CODE was previously null.,
10690,Anthoptilum grandiflorum,Anthoptilum grandiflorum,ANGR,1291,,PACFIN_CODE was previously null.,
10645,Lophiiformes,Anglerfish Unid,ANGU,10645,,PACFIN_CODE was previously null.,
10177,Synthliboramphus antiquus,Ancient Murrelet,ANMU,993,,PACFIN_CODE was previously null.,
10214,Sebastes aurora,Aurora Rockfish,ARRA,334,,,
10106,Atheresthes stomias,Arrowtooth Flounder,ARTH,141,,,
10590,Callinectes arcuatus,Arched Swimming Crab,ASCB,888,,PACFIN_CODE was previously null.,
10629,Bathyraja aleutica,Aleutian Skate,ASKT,1237,,PACFIN_CODE was previously null.,
10318,Squatina californica,Pacific Angel Shark,ASRK,583,,,
10056,Chionoecetes angulatus,Angulatus Tanner Crab,ATCB,19,,PACFIN_CODE was previously null.,
10030,Berardius bairdii,Bairds Beaked Whale,BABW,1001,,PACFIN_CODE was previously null.,
10457,Ophidion scrippsae,Basketweave Cusk-eel,BACE,264,,PACFIN_CODE was previously null.,
10657,Isididae,Bamboo Corals,BACO,1260,,PACFIN_CODE was previously null.,
10126,Zapteryx exasperata,Banded Guitarfish,BAGU,180,,PACFIN_CODE was previously null.,
10215,Sebastes rufus,Bank Rockfish,BANK,337,,,
10184,Syngnathus leptorynchus,Bay Pipefish,BAPI,185,,PACFIN_CODE was previously null.,
10022,Cirripedia,Barnacles Unid,BARU,48,,PACFIN_CODE was previously null.,
10447,Paralabrax nebulifer,Barred Sand Bass,BASB,475,,PACFIN_CODE was previously null.,
10368,Opisthoproctidae,Barreleyes/Spookfishes,BASP,796,,PACFIN_CODE was previously null.,
10029,Percichthyidae/Serranidae,Bass Unid,BASS,480,,PACFIN_CODE was previously null.,
10459,Lycodes pacificus,Blackbelly Eelpout,BBEE,256,,PACFIN_CODE was previously null.,
10372,Ophiuroidea,Brittle/Basket Star Unid,BBSU,22,,PACFIN_CODE was previously null.,
10031,Mesoplodon densirostris,Blainevilles Beaked Whale,BBWH,1002,,PACFIN_CODE was previously null.,
10220,Sebastes paucispinis,Bocaccio Rockfish,BCAC,302,,,
10310,Apristurus brunneus,Brown Cat Shark,BCRK,68,,PACFIN_CODE was previously null.,
10093,Lyconema barbatum,Bearded Eelpout,BEEE,252,,PACFIN_CODE was previously null.,
10631,Bathyraja interrupta,Bering Skate,BESK,1238,,PACFIN_CODE was previously null.,
10036,Ziphiidae,Beaked Whale Unid,BEWH,1008,,PACFIN_CODE was previously null.,
10008,Phoebastria nigripes,Black-footed Albatross,BFAL,952,,PACFIN_CODE was previously null.,
10094,Lycodes cortezianus,Bigfin Eelpout,BIEE,254,,PACFIN_CODE was previously null.,
10646,Melamphaidae,Bigscale Unid,BIGU,10646,,PACFIN_CODE was previously null.,
10285,Hemilepidotus spinosus,Brown Irish Lord Sculpin,BILS,408,,PACFIN_CODE was previously null.,
10037,Aves,Bird Unid,BIRU,900,,PACFIN_CODE was previously null.,
10353,Hippoglossina stomata,Bigmouth Sole,BISO,119,,PACFIN_CODE was previously null.,
10398,Thunnus obesus,Bigeye Tuna,BITU,711,,PACFIN_CODE was previously null.,
10038,Bivalvia,Bivalve Unid,BIVU,27,,PACFIN_CODE was previously null.,
10189,Bathyagonus nigripinnis,Blackfin starnose Poacher,BKPO,456,,PACFIN_CODE was previously null.,
10039,Neoscopelidae,Blackchin Unid,BLAU,683,,PACFIN_CODE was previously null.,
10216,Sebastes melanops,Black Rockfish,BLCK,306,,,
10587,Antipatharia,Black Coral,BLCO,1201,,PACFIN_CODE was previously null.,
10074,Cheilotrema saturnum,Black Croaker,BLCR,725,,PACFIN_CODE was previously null.,
10040,Idiacanthinae,Blackdragon Unid,BLDU,684,,PACFIN_CODE was previously null.,
10095,Lycodes diapterus,Black Eelpout,BLEE,255,,PACFIN_CODE was previously null.,
10218,Sebastes melanostomus,Blackgill Rockfish,BLGL,319,,,
10542,Eptatretus deani,Black Hagfish,BLHA,850,,PACFIN_CODE was previously null.,
10150,Rissa tridactyla,Black-legged Kittiwake,BLKI,976,,PACFIN_CODE was previously null.,
10668,Polychelidae,Blind lobster unid,BLOU,1271,,PACFIN_CODE was previously null.,
10188,Xeneretmus latifrons,Blackedge Poacher,BLPO,455,,PACFIN_CODE was previously null.,
10633,Plectobranchus evides,Bluebarred Prickleback,BLPR,1241,,PACFIN_CODE was previously null.,
10287,Enophrys taurina,Bull Sculpin,BLSC,410,,PACFIN_CODE was previously null.,
10335,Bathyraja trachura,Black Skate,BLSK,551,,PACFIN_CODE was previously null.,
10041,Chromis punctipinnis,Blacksmith,BLSM,685,,PACFIN_CODE was previously null.,
10549,Psychrolutes phrictus,Blob Sculpin,BLSU,856,,PACFIN_CODE was previously null.,
10219,Sebastes mystinus,Blue/Deacon Rockfish,BLUR,316,,,
10415,Balaenoptera musculus,Blue Whale,BLWH,1031,,PACFIN_CODE was previously null.,
10096,Lycodapus fierasfer,Blackmouth Eelpout,BMEE,257,,PACFIN_CODE was previously null.,
10686,Sepiolida,Bobtail Squid,BOSQ,1287,,PACFIN_CODE was previously null.,
10157,Panulirus interruptus,California Spiny Lobster,LOBS,31,0,,
10563,Brachiopoda,Brachiopod Unid,BRAU,866,,PACFIN_CODE was previously null.,
10643,Sula leucogaster,Brown Booby,BRBO,998,,PACFIN_CODE was previously null.,
10452,Phalacrocorax penicillatus,Brandts Cormorant,BRCO,962,,PACFIN_CODE was previously null.,
10058,Lopholithodes foraminatus,Brown Box Crab,BRCR,6,,PACFIN_CODE was previously null.,
10043,Gonostomatidae,Bristlemouth Unid,BRIU,687,,PACFIN_CODE was previously null.,
10221,Sebastes gilli,Bronzespotted Rockfish,BRNZ,356,,,
10479,Pelecanus occidentalis,Brown Pelican,BRPE,910,,PACFIN_CODE was previously null.,
10024,Paralepididae,Barracudina Unid,BRRU,770,,PACFIN_CODE was previously null.,
10506,Doryteuthis opalescens,Market Squid,MSQD,621,0,,
10484,Sebastes auriculatus,Brown Rockfish,BRWN,332,,,
10382,Embiotoca jacksoni,Black Surfperch,BSCU,630,,PACFIN_CODE was previously null.,
10334,Raja binoculata,Big Skate,BSKT,550,,,
10311,Mustelus henlei,Brown Smoothhound Shark,BSMK,576,,PACFIN_CODE was previously null.,
10505,Isopsetta isolepis,Butter Sole,BSOL,109,,,
10376,Oceanodroma melania,Black Storm-Petrel,BSPE,959,,PACFIN_CODE was previously null.,
10190,Xeneretmus triacanthus,Bluespotted Poacher,BSPO,457,,PACFIN_CODE was previously null.,
